  id   |                serial_no                
-------+-----------------------------------------
     4 | JAN 15 2010
    10 | 02 28 02
    11 | A 08 18 11
    16 | A 08 18 11
    19 | A 08 18 11
    22 | November 22 2012
    26 | Given to Aerotech re
    32 | 08 18 11
    33 | A 08 18 11
    34 | 08 18 11
    35 | July, 2012
    42 | Circa 2002 Dr. Rocke
    61 | 11 15 11
   489 | 09 15 14
    43 | A 06 22 12
    50 | A 09 04 12
    51 | 09 04 12
    54 | 09 08 08
    55 | A 04 02 12
    56 | 06 14 01
    58 | 08 18 11
    59 | 11 5 11
    60 | 11 15 11
   268 | Not available
    64 | 11 03 08 A
    74 | Dec 23 2011
    75 | A 05 15 12
    76 | Destroyed-partial 02
    79 | Feb 28 2013
    82 | unreadable 6xl cti c
    85 | 09 04 12
    88 | A 08 18 11
    91 | AT Case #601 date Ju
    92 | 08 21 06 A
    93 | Jan 23 2013
    94 | P: 06 14 01 8: unkno
    95 | 06 14 01`
   174 | A 04 15 13
   105 | A 06 28 11
   106 | 10 30 06 A
   107 | A 07 02 07
   108 | 08 09 04 A
   109 | A 09 04 12
   114 | A 09 04 12
   117 | A 08 18 11 1
   118 | A 03 11 13
   131 | Feb 28 2013
   134 | A 08 18 11
   136 | 09 16 13 05
   138 | A 06 22 12
   139 | No markings, older b
   140 | No markings, older b
   142 | May 09 2013 and Nov
   144 | 08 18 11
   146 | 10 A 10
   147 | A 01 4 13
   150 | A 08 18 11
   151 | 09 25 06
   153 | Not on casing
   154 | A 08 18 11
   155 | A 09 04 12
   157 | 06 26 11
   160 | 08 18 11
   161 | 08 18 11
   162 | 08 18 11
   163 | 08 18 11
   164 | 08 18 11
   165 | 08 18 11
   166 | A 09 04 12
   176 | 06  14  01
   179 | A 06 28 11
   181 | A 01 04 13
   184 | lot 110324
   185 | lot 100322
   244 | MR-00(?)7     19 (?)
   192 | A     06 28 11
   193 | 09 04 12
   199 | 02 28 02
   201 | A 03 11 13
   202 | A 06 28 11
   204 | A 01 04 13
   206 | A 06 28 11
   209 | A 04 15 13
   210 | A  06 22 12
   211 | container disposed o
   212 | A 07 26 13
   215 | 01 22 02
   218 | 01 04 13
   219 | 01 04 13
   223 | 02 12 07 A
   246 | 02 12 07
   229 | 81204 other info bur
   231 | a 11 15 11
   232 | a 11 15 11
   233 | A 08 18 11
   237 | A 08 18 11
   238 | 08 18 11
   239 | 08 18 11
   247 | 04 02 12
   249 | A 11 15 11
   250 | A 03 11 13
   253 | A 04 15 13
   258 | A 05 15 12
   261 | See notes below
   263 | 09 04 12
   270 | 10 30 06
   271 | 10 30 06
   272 | 02 12 07
   277 | D Aug 23 2002
   279 | A 11 08 10
   285 | 4     04       15
   288 | 2 A 2
   289 | Sep 25 2014
   292 | A 11 15 11
   294 | 09 04 12
   298 | A 06 28 11
   300 | A 03 11 13
   302 | A 08 18 11
   303 | 9 15 14
   311 | Jun 05 2014/Oct 14 2
   313 | 01 04 13
   314 | 5/12/2014  6/19/2014
   315 | 08 09 04
   316 | A 08 18 11
   317 | A 09 15 14
   318 | A 09 15 14
   319 | 09 04 12
   320 | A 09 04 12
   321 | 09 15 14
   322 | a 08 18 11
   325 | 09 15 14
   346 | A 06 28 11
  1383 | 14 AVR 2020
   327 | A 04 15 13
   328 | A 08 18 11
   345 | 06 28 11
  1384 | A 04 15 13
  1386 | G 18 09 18
   347 | Not Available
   351 | A 06 22 12
   357 | A 09 04 12
   358 | 09 04 12
   359 | Doesn't matter
   362 | A 04 15 13
   363 | 06 28 11
   364 | 06 28 11
   365 | JUN 12 2015
   370 | A 08 18 11
   372 | A 06 28 11 1
   373 | 03 01 06
   379 | P38R-A-2G-BL   #7132
   401 | Dec 11 2011
   382 | 09 02 09
   383 | 09 02 09
   384 | 09 02 09
   388 | A 06 28 11
   390 | DEC 23 2010
   391 | 04 02 12
   392 | 06 22 12
   394 | A 08 18 11
   397 | Unable to locate due
   399 | Dr. Rocket seri no.3
   412 | Jan 18 2016
   413 | A 06 15 14
   414 | JAN 28 2015
   435 | MAY 05 2015
   418 | July 10 2015 or "O
   419 | A 04 14 11
   422 | 06 22 12
   424 | See Comments below
   425 | sept 22 2015
   434 | DEC 30 2015
   438 | A 05 15 12
   440 | Dec 11 2013
   442 | A 11 15 11
   444 | A 01 12 16
   446 | 08 09 04
   450 | August 27 2015
   453 | A 01 12 16
   457 | Not found
   458 | A 06 28 11
   459 | Unable to obtain
   460 | A 01 12 16
   464 | A 01 28 08
   465 | 01 12 16
   467 | A 03 11 13
   468 | A 03 11 13
   472 | 08 18 11
   477 | A 09 04 12
   478 | A 08 18 11
   479 | A 08 18 11
   480 | Oct 6 2015
   481 | A 06 22 12
   485 | A 08 18 11
   486 | Nov 10/26 2014
   487 | A 11 15 11
   490 | 09 15 14
   491 | A 06 28 11 2
   493 | 06 14 01 A
   497 | 16 A 8
   498 | 16 A 8
   499 | 06 14 01
   500 | 07 18 05 A
   503 | unable to locate
   504 | A 09 15 14 & A 01 12
   506 | A 09 02 09 1
   507 | A 04 02 12
   508 | A 04 02 12
   512 | A 01 12 16
   513 | A 01 12 16
   515 | A 01 12 16
   517 | A 09 04 12
   520 | A 09 15 14
   521 | 08 29 11
   522 | A 01 12 16
   524 | A 01 12 16
   525 | A 01 12 16
   546 | A 01 12 16
   526 | A 09 04 12
   527 | A 01 12 16
   528 | A 06 28 11
   529 | A 06 22 12
   530 | A 08 18 11
   534 | A 5 15 12
   535 | 01 14 15
   536 | A 06 22 12
   537 | A 04 15 13
   538 | A 06 28 11
   539 | A 04 15 13
   540 | A 04 15 13
   541 | A 08 18 11
   545 | Sep.01,2015, Sep.10,
   548 | 01 12 16
   550 | A 08 18 11
   552 | A 08 18 11
   553 | A 01 12 16
   554 | A 09 04 12
   555 | A 09 04 12
   556 | Dec 18 2015
   557 | A 08 18 11
   559 | FEB 19 2016
   595 | 1 12 16
   561 | sku 0 94433 78010 3
   563 | 01 12 16
   565 | 01 22 02
   567 | A 05 15 12
   570 | A 11 15 11
   572 | Sep 28 2016
   574 | It was a motor not a
   577 | A 76 26 13
   579 | 11 15 11, 11 15 11
   581 | A 04 02 12
   582 | late 2016
   584 | A 01 12 16
   586 | 10261507 (reload cod
   587 | new AT 54/1706 casin
  1387 | 07 14 17
   593 | A 01 04 13
   594 | 1 12 16
   599 | A 07 26 13
   602 | A071805 / BAM-PT1-01
   603 | A  05  15  12
   605 | a011216  x2
   607 | A 07 25 16
   608 | A 06 28 11
   609 | A 06 28 11
   613 | A 01 12 16
   615 | Ends in 2212 I think
   616 | NA0276, 1.4C, Class 
   617 | A 08 18 11 1
   618 | RMS-98/10240 Casing
   625 | 28 Z 2
   626 | Sep 21, 2005 and Oct
   633 | 04 15 13
   635 | 05 15 12
   638 | Jun 0 4 2915
   642 | MR-0057 28Z2
   645 | Dec 13 2011
   647 | unable to find
   884 | 06 28 11
   653 | A 05 15 12
   660 | 10  30  06
   661 | A 05 15 12
   664 | A 01 04 13
   666 | A 01 12 18
   667 | N/A case destroyed
   669 | new round tube packa
   670 | A 11 15 11
   675 | A 01 12 16
   676 | A 08 18 11
   679 | A 09 04 12
   680 | A 06 22 12
   682 | 08 18 11
   684 | 06 07 04
   685 | 06 07 04
   687 | 9443365006 on packag
   690 | 01 22 02
   698 | lot 112705
   700 | SEP 30 2015
   702 | Testing again
   706 | Jan 06 2016
   716 | A 03 11 134
   728 | 04 02 012
   729 | 04 02 012
   734 | Not retained by flye
   735 | 09 15 14
   737 | Sep 27 2016
   738 | A 09 15 14
   739 | Jun 11 2015 date on
   740 | 08 18 11
   742 | 08 18 11
   746 | JAN 11 2017
   747 | A 05 15 12
   748 | Sticker and end cap
   753 | Apr 02 2018
   755 | A 03 11 13
   757 | I am unable to locat
   767 | A 03 30 17
   768 | gave to vendor
   769 | no label, no code
   775 | APR 10 2014
   778 | july 27 2017
   779 | july 27 2017
   782 | Jan 27 2016
   783 | Aug 25 2017
   784 | A 04 15 13
   827 | Jan 22 2016
   786 | A 10 12 16
   794 | 01 12 16
   798 | 15 A 3
   799 | a 01 04 13
   800 | a 09 04 12
   802 | A 01 12 16
   811 | A 01 12 16
   813 | A 09 15 14
   815 | A 09 09 16
   817 | A 06 22 12
   818 | A 09 15 14
   821 | Aug 17 2017
   822 | A 03 30 17
   823 | A 01 12 16
   828 | 03 30 17
   830 | A 08 18 11
   832 | A 1 12 16
   833 | A 09 15 14
   834 | December (6th?) 2017
   838 | A 05 15 12
   841 | 01/25/17 (102517)
   843 | Don't have package;
  1388 | A 02 24 16
   852 | 06  14  01
   853 | Casing destroyed
   856 | Dec 18 2015
   858 | 09 04 12
   863 | A 01 04 13
   864 | 11 15 11
   865 | JUN 07 2017
   867 | A 04 15 13
   869 | A  01 12 16
   870 | Not applicable.
   871 | A 06 22 12
   875 | A 04 15 13
   876 | A 05 15 12
   877 | A 09 09 16
   880 | A 01 12 16
   881 | A 08 18 11
   883 | Mar 11 2016
   889 | 0080 exp.11.0013  Ma
   893 | 8-15-18 (Not positiv
   894 | April 22 2010
   896 | a 01 12 16
   897 | May 14 2018
   898 | label was peeled off
  1272 | unknown  / lost
   902 | 04 15 13
   903 | Aug 13 2018
   910 | August 24 2017
   911 | B 18 10 18
   916 | A 07 25 16
   917 | cannot find
   923 | 08 18 11
   925 | Code J170818
   927 | A 07 25 16
   930 | Dec 11 2011
   932 | Nov 22 2018
  1122 | D 19 06 19
  1123 | D 19 06 19
  1125 | D 19 06 19
  1126 | D 19 06 19
  1127 | 6 A 6
  1128 | 6 A 6
  1129 | Product # 77507
  1131 | D 19 06 19
  1112 | D 19 06 19
  1113 | D 19 06 19
  1021 | D 19 6 19
  1132 | D 19 06 19
  1389 | A 11 15 11
  1117 | D 19 05 19
  1118 | Nov 21 2018
  1135 | D 19 06 19
  1120 | A 08 18 11
  1134 | APR 30 2018
  1111 | Dec 23 2010
  1136 | D 19 06 19
  1137 | D 19 06 19
  1145 | D 19 06 19
  1147 | JUN 16 2017
  1149 | D 19 06 19
  1151 | 08 18 11
  1152 | 06 14 01
  1153 | D 19 06 19
  1154 | D 19 08 19
  1155 | A 11 15 11
  1159 | D 19 06 19
  1160 | Jun 12 2018
  6075 | C24 0524
  1164 | D 19 08 19
  1165 | D 19 06 19
  1166 | 06 14 01 A
  1168 | June 23 2000
  1169 | 11 08 10
  1170 | A 06 22 12
  1171 | A 04 15 13
  1173 | May 11 2017
  6174 | a 04 15 13
  1176 | A 08 18 11
  1178 | A 01-12-16
  1182 | 19 08 19
  1184 | DEC 23 2010
  1185 | D 19 06 19
  1186 | A 06 22 12
  1190 | Nov 6 2019
  1191 | Jan 23, 2013
  1192 | 04 15 13
  1195 | D 19 06 19
  1197 | D 19 06 19
  1198 | A 04 15 13
  1200 | A 08 18 11
  1201 | March 22, 2018
  1209 | B 18 07 18
  1210 | Nov 27 2017
  1216 | a 09 15 14
  1217 | G 18 10 18
  1218 | A 01 12 16
  1221 | 09 19 01
  1223 | A 04 15 13
  1225 | A 02 24 18
  1226 | A 02 24 18
  1230 | 07 25 16
  1232 | Not sure
  1233 | 02 28 02 A
  1243 | D 19 06 19
  1246 | G 18 02 19
  1248 | 111318-01 (I believe, label is damaged)
  1249 | APR 16 2010
  1270 | A011216 -or- MR-0057
  1250 | May 12 2015
  1251 | 0080 P2 18 0008
  1253 | D 19 06 19
  1260 | A 05 15 12
  1261 | A 05 15 12
  1262 | 07 02 07
  1264 | not legible, label scraped off
  1265 | D19 06 10
  1268 | 6 A 6
  1277 | 1992 AeroTech, Inc. All rights reserved
  1278 | D 19 05 19
  1285 | Mar 28 2020
  1288 | A 05 15 12 ?
  1378 | A 08 18 11
  1291 | Jan 16 2019
  1292 | D 19 06 19
  1295 | 18 02 19
  1299 | Aug 20 2013
  1300 | 19 06 19
  1301 | 19 06 19
  1305 | A062212 MR-0057
  1312 | A 08 18 11
  1313 | A 06 28 11
  1314 | A 06 28 xx
  1325 | AUG 22 2017
  1328 | D 19 06 19
  1332 | D 19 06 19
  1334 | F 19 07 19
  1335 | 13 Aug 2019
  1337 | A 07 02 07
  1340 | NOV 22 2018
  1345 | 19 05 20
  1347 | A 06 22 12
  1348 | I 19 04 20
  1349 | F 19 07 19
  1352 | D 19 06 19
